Component/Office,Request Number,Is Consultation,Days Allowed,Exemption 3 Statutes,Type(s) of Info Withheld,Case Citation(s),Dates Initially Received,Perfected,Completed,Days Tolled,Track,Disposition,Disposition Reasons,Exemption(s) Applied,Appeal Date Received,Date Closed,Appeal Disposition,Appeal Reasons,Appeal Exemption(s) Applied,Exp. Date Received,Exp. Date of Determination,Exp. Granted/Denied,Fee Date Received,Fee Date of Determination,Fee Granted/Denied,Amount of Fees Collected
CIA,157711,N,,,,,7/9/2008,,,,Simple,,,,,,,,,,,,,,,
CIA,158289,N,,,,,3/8/2002,,4/17/2006,,Simple,Cancelled,,,10/12/2017,,,,,,,,,,,
CIA,160424,N,,,,,12/23/2008,,,,Simple,,,,,,,,,,,,,,,
CIA,160960,N,,CIA Act;,,,2/9/2009,,8/16/2019,,Complex,Granted in Part,,(b)(1); (b)(2); (b)(3); (b)(3) CIAAct; (b)(5); (b)(6);,,,,,,,,,,,,
CIA,161398,N,,,,,3/11/2009,,7/9/2014,,Complex,Granted in Part,,(b)(1); (b)(3);,7/23/2014,4/4/2019,Appeal Partially Granted,,(b)(1); (b)(3); JFK (1)(a); JFK (1)(b); sub05;,,,,,,,
CIA,161684,N,,,,,3/26/2009,,,,Simple,,,,,,,,,,,,,,,
CIA,161745,N,,,,,3/31/2009,,,,Simple,,,,,,,,,,,,,,,
CIA,161994,N,,,,,4/15/2009,,,,Simple,,,,,,,,,,,,,,,
CIA,162345,N,,,,,5/5/2009,,,,Simple,,,,,,,,,,,,,,,
CIA,506328,N,,,,,2/25/2004,,4/10/2013,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(5); (b)(6); (j)(1); (k)(1);,4/30/2013,,,,,,,,,,,
CIA,506565,N,,,,,7/10/2003,,2/15/2013,,Simple,Granted in Part,,(b)(1); (b)(3); (b)(6);,4/10/2013,,,,,,,,,,,
CIA,506570,N,,,,,12/29/2003,,5/16/2013,,Complex,Granted in Part,,(b)(1); (b)(2); (b)(3); (b)(5); (b)(6); NR;,7/19/2013,,,,,,,,,,,
CIA,508194,N,,,,,5/21/1996,,9/29/2008,,Complex,Granted in Part,,(b)(1); (b)(3);,11/19/2008,3/25/2019,Cancelled,Withdrawn,,,,,,,,
CIA,509572,N,,,,,3/14/2006,,3/28/2007,,Simple,Granted in Part,,(b)(1); (b)(2); (b)(3); (b)(5); (b)(7)(a);,4/16/2007,,,,,,,,,,,
CIA,510786,N,,,,,8/5/2009,,,,Simple,,,,,,,,,,,,,,,
CIA,510878,N,,,,,8/12/2009,,5/15/2014,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6);,6/25/2014,,,,,,,Granted,,,,
CIA,511758,N,,,,,10/9/2009,,8/16/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,511760,N,,,,,10/9/2009,,12/14/2012,,Complex,No Records Located,,,3/7/2013,,,,,,,,,,,
CIA,511987,N,,,,,10/28/2009,,1/7/2019,,Complex,Granted in Part,,(b)(1); (b)(2); (b)(3); (b)(5); (b)(6); (b)(7)(a);,,,,,,,,,,,,
CIA,512720,N,,,,,12/18/2009,,10/18/2018,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,22.8
CIA,513192,N,,,,,2/1/2010,,,,Simple,,,,,,,,,,,,,,,
CIA,514365,N,,,,,4/9/2010,,10/19/2018,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6);,,,,,,,,,,,,
CIA,515266,N,,,,,6/2/2010,,6/8/2010,,Simple,Denied in Full,,(b)(1); (b)(3);,8/3/2010,5/30/2019,Appeal Partially Granted,,(b)(1); (b)(2); (b)(3); (b)(6); 3.3(h)(1); NR;,,,,,,,
CIA,515514,N,,,,,6/11/2010,,,,Simple,,,,,,,,,,,,,,,
CIA,515922,N,,,,,7/6/2010,,2/19/2014,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(4); (b)(5); (b)(6);,4/29/2014,,,,,,,,,,,
CIA,516023,N,,,,,7/12/2010,,4/2/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(5); (b)(6); EO 12958 6.2(c);,,,,,,,,,,,,50.1
CIA,516493,N,,,,,8/4/2010,,4/19/2018,,Complex,Granted in Part,,(b)(1); (b)(3);,6/21/2018,,,,,,,,,,,
CIA,516723,N,,,,,8/19/2010,,8/30/2012,,Complex,Granted in Part,,(b)(3); (b)(5); (b)(6);,9/10/2012,,,,,,,,,,,
CIA,518178,N,,,,,10/29/2010,,4/10/2019,,Complex,Granted in Part,,(b)(3); (b)(5); (b)(6);,,,,,,,,,,,,
CIA,518253,N,,,,,11/3/2010,,,,Simple,,,,,,,,,,,,,,,
