"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C01_002E","S2801_C01_002M","S2801_C01_003E","S2801_C01_003M","S2801_C01_004E","S2801_C01_004M","S2801_C01_005E","S2801_C01_005M","S2801_C01_006E","S2801_C01_006M","S2801_C01_007E","S2801_C01_007M","S2801_C01_008E","S2801_C01_008M","S2801_C01_009E","S2801_C01_009M","S2801_C01_010E","S2801_C01_010M","S2801_C01_011E","S2801_C01_011M","S2801_C01_012E","S2801_C01_012M","S2801_C01_013E","S2801_C01_013M","S2801_C01_014E","S2801_C01_014M","S2801_C01_015E","S2801_C01_015M","S2801_C01_016E","S2801_C01_016M","S2801_C01_017E","S2801_C01_017M","S2801_C01_018E","S2801_C01_018M","S2801_C01_019E","S2801_C01_019M","S2801_C01_020E","S2801_C01_020M","S2801_C01_021E","S2801_C01_021M","S2801_C01_022E","S2801_C01_022M","S2801_C01_023E","S2801_C01_023M","S2801_C01_024E","S2801_C01_024M","S2801_C01_025E","S2801_C01_025M","S2801_C01_026E","S2801_C01_026M","S2801_C01_027E","S2801_C01_027M","S2801_C01_028E","S2801_C01_028M","S2801_C01_029E","S2801_C01_029M","S2801_C01_030E","S2801_C01_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_001E","S2801_C02_001M","S2801_C02_002E","S2801_C02_002M","S2801_C02_003E","S2801_C02_003M","S2801_C02_004E","S2801_C02_004M","S2801_C02_005E","S2801_C02_005M","S2801_C02_006E","S2801_C02_006M","S2801_C02_007E","S2801_C02_007M","S2801_C02_008E","S2801_C02_008M","S2801_C02_009E","S2801_C02_009M","S2801_C02_010E","S2801_C02_010M","S2801_C02_011E","S2801_C02_011M","S2801_C02_012E","S2801_C02_012M","S2801_C02_013E","S2801_C02_013M","S2801_C02_014E","S2801_C02_014M","S2801_C02_015E","S2801_C02_015M","S2801_C02_016E","S2801_C02_016M","S2801_C02_017E","S2801_C02_017M","S2801_C02_018E","S2801_C02_018M","S2801_C02_019E","S2801_C02_019M","S2801_C02_020E","S2801_C02_020M","S2801_C02_021E","S2801_C02_021M","S2801_C02_022E","S2801_C02_022M","S2801_C02_023E","S2801_C02_023M","S2801_C02_024E","S2801_C02_024M","S2801_C02_025E","S2801_C02_025M","S2801_C02_026E","S2801_C02_026M","S2801_C02_027E","S2801_C02_027M","S2801_C02_028E","S2801_C02_028M","S2801_C02_029E","S2801_C02_029M","S2801_C02_030E","S2801_C02_030M","S2801_C02_031E","S2801_C02_031M",
"Geography","Geographic Area Name","Estimate!!Total!!Total households","Margin of Error!!Total MOE!!Total households","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!No computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!No computer","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Estimate!!Percent!!Total households","Margin of Error!!Percent MOE!!Total households","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!No computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!No computer","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription",
"0500000US01001","Autauga County, Alabama","21115","383","18368","482","15776","534","1620","308","15891","516","1180","285","12553","546","141","85","952","245","12","17","2747","368","16699","491","48","38","16651","500","12631","473","2331","396","13086","505","1509","248","4416","401","4031","444","5","8","2225","380","1801","308","8825","551","18","17","6991","550","1816","263","8259","509","25","34","7435","466","799","210","(X)","(X)","87.0","1.7","74.7","2.2","7.7","1.4","75.3","2.1","5.6","1.3","59.5","2.5","0.7","0.4","4.5","1.2","0.1","0.1","13.0","1.7","79.1","1.9","0.2","0.2","78.9","1.9","59.8","2.2","11.0","1.9","62.0","2.2","7.1","1.2","20.9","1.9","(X)","(X)","0.1","0.2","55.2","6.5","44.7","6.5","(X)","(X)","0.2","0.2","79.2","3.0","20.6","3.0","(X)","(X)","0.3","0.4","90.0","2.4","9.7","2.4",
"0500000US01003","Baldwin County, Alabama","78622","1183","69635","1314","58827","1316","6292","586","60495","1470","5696","631","45065","1304","647","179","1980","378","30","33","8987","642","61877","1426","453","150","61424","1421","48549","1377","12560","928","45004","1410","6794","542","16745","1016","11789","772","79","57","5672","535","6038","615","38091","1213","283","118","29534","1169","8274","722","28742","935","91","83","26218","973","2433","492","(X)","(X)","88.6","0.8","74.8","1.2","8.0","0.8","76.9","1.2","7.2","0.8","57.3","1.3","0.8","0.2","2.5","0.5","0.0","0.1","11.4","0.8","78.7","1.3","0.6","0.2","78.1","1.3","61.7","1.3","16.0","1.1","57.2","1.6","8.6","0.7","21.3","1.3","(X)","(X)","0.7","0.5","48.1","3.6","51.2","3.6","(X)","(X)","0.7","0.3","77.5","1.8","21.7","1.8","(X)","(X)","0.3","0.3","91.2","1.7","8.5","1.7",
"0500000US01005","Barbour County, Alabama","9186","280","6986","236","5018","253","818","156","5624","295","973","165","4180","249","234","138","360","116","0","22","2200","235","5616","277","68","29","5548","273","4015","277","1351","201","3568","252","891","147","3570","297","2892","274","21","20","1230","201","1641","220","4402","350","42","25","2682","260","1678","234","1892","201","5","7","1636","179","251","90","(X)","(X)","76.1","2.2","54.6","2.8","8.9","1.7","61.2","3.1","10.6","1.8","45.5","2.7","2.5","1.5","3.9","1.2","0.0","0.4","23.9","2.2","61.1","2.8","0.7","0.3","60.4","2.7","43.7","2.7","14.7","2.1","38.8","2.6","9.7","1.6","38.9","2.8","(X)","(X)","0.7","0.7","42.5","5.5","56.7","5.6","(X)","(X)","1.0","0.6","60.9","4.0","38.1","4.1","(X)","(X)","0.3","0.4","86.5","4.4","13.3","4.3",
"0500000US01007","Bibb County, Alabama","6840","321","5217","376","3897","371","681","159","4134","320","789","217","3137","338","56","50","87","61","3","5","1623","247","4526","363","5","9","4521","362","3444","287","1688","322","2286","347","767","229","2314","272","1349","240","0","22","469","143","880","212","3461","369","0","22","2312","337","1149","199","2030","278","5","9","1740","273","285","151","(X)","(X)","76.3","3.6","57.0","4.5","10.0","2.2","60.4","3.6","11.5","3.1","45.9","4.2","0.8","0.7","1.3","0.9","0.0","0.1","23.7","3.6","66.2","3.9","0.1","0.1","66.1","3.9","50.4","3.6","24.7","4.6","33.4","4.6","11.2","3.3","33.8","3.9","(X)","(X)","0.0","2.4","34.8","9.3","65.2","9.3","(X)","(X)","0.0","0.9","66.8","5.3","33.2","5.3","(X)","(X)","0.2","0.4","85.7","7.1","14.0","7.1",
"0500000US01009","Blount County, Alabama","20600","396","16202","526","12876","459","1785","232","13555","501","1762","293","9400","435","221","116","424","112","49","44","4398","423","14288","457","185","86","14103","457","9578","474","2523","298","10190","431","1848","228","6312","420","3933","379","51","46","1606","271","2276","253","10889","551","85","43","7346","501","3458","401","5778","389","49","54","5151","358","578","142","(X)","(X)","78.7","2.0","62.5","1.9","8.7","1.1","65.8","2.1","8.6","1.4","45.6","2.0","1.1","0.6","2.1","0.5","0.2","0.2","21.3","2.0","69.4","1.9","0.9","0.4","68.5","1.9","46.5","2.0","12.2","1.4","49.5","2.0","9.0","1.1","30.6","1.9","(X)","(X)","1.3","1.2","40.8","4.6","57.9","4.6","(X)","(X)","0.8","0.4","67.5","3.3","31.8","3.2","(X)","(X)","0.8","0.9","89.1","2.4","10.0","2.2",
"0500000US01011","Bullock County, Alabama","3609","196","2631","217","1846","228","272","88","2230","197","505","165","1571","250","0","19","80","48","0","19","978","209","2161","173","37","42","2124","172","1608","219","382","173","1515","234","249","91","1448","256","1332","285","17","29","453","192","862","235","1611","230","20","28","1119","213","472","134","666","175","0","19","552","167","114","49","(X)","(X)","72.9","5.3","51.1","6.5","7.5","2.5","61.8","5.1","14.0","4.5","43.5","6.5","0.0","0.9","2.2","1.3","0.0","0.9","27.1","5.3","59.9","5.7","1.0","1.2","58.9","5.6","44.6","6.3","10.6","4.8","42.0","6.9","6.9","2.5","40.1","5.7","(X)","(X)","1.3","2.1","34.0","11.9","64.7","12.3","(X)","(X)","1.2","1.8","69.5","7.7","29.3","7.6","(X)","(X)","0.0","4.8","82.9","7.5","17.1","7.5",
"0500000US01013","Butler County, Alabama","6708","274","4703","281","3853","265","875","126","3486","253","473","114","2553","213","57","36","315","99","0","22","2005","233","4226","286","57","48","4169","290","2590","193","896","129","2974","282","491","111","2482","257","1906","193","11","13","820","122","1075","165","3261","259","38","45","1991","240","1232","196","1541","183","8","13","1358","166","175","63","(X)","(X)","70.1","3.2","57.4","3.4","13.0","1.9","52.0","2.8","7.1","1.6","38.1","2.7","0.8","0.5","4.7","1.4","0.0","0.5","29.9","3.2","63.0","3.5","0.8","0.7","62.1","3.6","38.6","2.5","13.4","1.9","44.3","3.8","7.3","1.6","37.0","3.5","(X)","(X)","0.6","0.7","43.0","5.5","56.4","5.6","(X)","(X)","1.2","1.4","61.1","5.4","37.8","5.3","(X)","(X)","0.5","0.8","88.1","3.8","11.4","3.7",
"0500000US01015","Calhoun County, Alabama","45033","683","38124","747","31147","749","4060","389","32195","757","3277","377","24041","691","469","152","1222","233","51","56","6909","482","33064","799","198","107","32866","796","23470","784","5543","444","24977","830","3693","355","11969","672","10085","487","30","27","5190","436","4865","420","22617","820","113","71","16512","797","5992","497","12331","585","55","79","11164","572","1112","233","(X)","(X)","84.7","1.0","69.2","1.3","9.0","0.9","71.5","1.2","7.3","0.8","53.4","1.4","1.0","0.3","2.7","0.5","0.1","0.1","15.3","1.0","73.4","1.4","0.4","0.2","73.0","1.4","52.1","1.6","12.3","1.0","55.5","1.7","8.2","0.8","26.6","1.4","(X)","(X)","0.3","0.3","51.5","3.6","48.2","3.5","(X)","(X)","0.5","0.3","73.0","2.1","26.5","2.1","(X)","(X)","0.4","0.6","90.5","2.0","9.0","1.8",
"0500000US01017","Chambers County, Alabama","13516","372","10240","466","7982","502","1381","229","8419","409","1184","237","6087","421","179","73","267","109","18","21","3276","347","9061","448","76","67","8985","460","6757","410","1683","270","6465","391","1025","220","4455","382","3245","332","0","25","1365","233","1880","277","7155","438","60","60","4931","408","2164","348","3116","307","16","26","2689","290","411","148","(X)","(X)","75.8","2.5","59.1","3.2","10.2","1.6","62.3","2.4","8.8","1.7","45.0","2.8","1.3","0.5","2.0","0.8","0.1","0.2","24.2","2.5","67.0","2.7","0.6","0.5","66.5","2.8","50.0","2.7","12.5","1.9","47.8","2.6","7.6","1.6","33.0","2.7","(X)","(X)","0.0","1.0","42.1","6.0","57.9","6.0","(X)","(X)","0.8","0.8","68.9","4.4","30.2","4.2","(X)","(X)","0.5","0.8","86.3","4.5","13.2","4.4",
